total_bill,tip,smoker,day,time,size
16.99,1.01,No,Sun,Dinner,2
10.34,1.66,No,Sun,Dinner,3
21.01,3.50,Yes,Sun,Dinner,3
23.68,3.31,No,Sun,Dinner,2
24.59,3.61,No,Sun,Dinner,4
25.29,4.71,Yes,Sun,Dinner,4
39.42,7.58,No,Sat,Dinner,4
19.82,3.18,Yes,Sat,Dinner,2
17.81,2.34,No,Sat,Dinner,4
13.37,2.00,No,Sat,Dinner,2
12.69,2.00,Yes,Sat,Dinner,2
21.70,4.30,No,Sat,Dinner,2
19.65,3.00,No,Sat,Dinner,2
16.32,3.30,Yes,Fri,Dinner,2
27.28,4.00,Yes,Fri,Dinner,2
21.01,3.00,Yes,Fri,Dinner,3
12.03,1.50,No,Fri,Dinner,2
21.01,3.50,Yes,Fri,Dinner,3
12.46,1.50,No,Fri,Dinner,2
28.97,3.00,Yes,Fri,Dinner,2
22.75,3.25,No,Thur,Lunch,2
16.43,2.30,No,Thur,Lunch,2
18.04,3.00,No,Thur,Lunch,2
19.19,3.48,No,Thur,Lunch,2
20.69,2.45,No,Thur,Lunch,4
13.42,1.58,Yes,Thur,Lunch,2
16.27,2.50,Yes,Thur,Lunch,2
10.09,2.00,Yes,Thur,Lunch,2
20.45,3.00,No,Thur,Lunch,4
